DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA NAME,Crm Cd Desc,Premis Desc,Weapon Desc,Status Desc,LOCATION,LAT,LON,Crm Type
201419812,11/06/2020 12:00:00 AM,11/06/2020 12:00:00 AM,1910,Pacific,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",PARKING LOT,UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,12100    VENICE                       BL,34.0039,-118.4334,VANDALISM_ARSON
210404224,01/04/2021 12:00:00 AM,12/27/2020 12:00:00 AM,1130,Hollenbeck,BURGLARY,OTHER RESIDENCE,UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,2900    WARWICK                      AV,34.0785,-118.1661,BURGLARY
202105280,01/29/2020 12:00:00 AM,01/28/2020 12:00:00 AM,1800,Topanga,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),STREET,UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,20500    VENTURA                      BL,34.1683,-118.5787,VEHICLE
201904694,01/16/2020 12:00:00 AM,01/15/2020 12:00:00 AM,2130,Mission,VEHICLE - STOLEN,STREET,UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,FOOTHILL,34.3193,-118.4871,VEHICLE
210205056,01/12/2021 12:00:00 AM,10/14/2020 12:00:00 AM,1200,Rampart,THEFT OF IDENTITY,BAR/SPORTS BAR (OPEN DAY & NIGHT),UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,300    WELCOME                      ST,34.0656,-118.2621,THEFT
202011797,07/06/2020 12:00:00 AM,07/04/2020 12:00:00 AM,2030,Olympic,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",GAS STATION,UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,4600    BEVERLY                      BL,34.0799,-118.3113,VANDALISM_ARSON
201407385,02/03/2020 12:00:00 AM,02/02/2020 12:00:00 AM,2000,Pacific,BURGLARY FROM VEHICLE,PARKING UNDERGROUND/BUILDING,UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,3800    MCLAUGHLIN                   AV,34.0086,-118.4246,BURGLARY
211104687,01/21/2021 12:00:00 AM,01/21/2020 12:00:00 AM,300,Northeast,VANDALISM - MISDEAMEANOR ($399 OR UNDER),CHURCH/CHAPEL (CHANGED 03-03 FROM CHURCH/TEMPLE),UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,4800 W  SUNSET                       BL,34.0982,-118.2943,VANDALISM_ARSON
201513536,08/05/2020 12:00:00 AM,08/04/2020 12:00:00 AM,730,N Hollywood,VEHICLE - STOLEN,STREET,UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,4900    CARTWRIGHT                   AV,34.1595,-118.3637,VEHICLE
201313153,06/30/2020 12:00:00 AM,06/30/2020 12:00:00 AM,930,Newton,ROBBERY,CELL PHONE STORE,UNKNOWN WEAPON/OTHER WEAPON,Adult Arrest,400 E  FLORENCE                     AV,33.9784,-118.263,ROBBERY
